"buyerDelay","sellerDelay","gap","successes","deviation","variance"
0,31,6,5,211006,55566
0,31,5,5,594833.2,65451
0,31,7,5,196379.4,52280.6
0,31,8,5,301183.8,52899.2
0,31,10,5,222487.2,37303.6
0,31,9,5,373662,50952.2
0,31,11,5,211191.2,36770.6
0,31,12,5,225761.4,39742.8
0,31,13,5,308734.8,39616.2
0,31,14,5,171443.4,35695.6
0,32,6,5,276182.2,55176.8
0,32,5,5,484766.2,76565
0,32,7,5,310258,53646.2
0,32,9,5,168669,44084.6
0,32,8,5,297924,56503.2
0,32,10,5,248522.4,47598.4
0,32,11,5,235570,41159.8
0,32,13,5,203072.4,32670.2
0,32,12,5,229868.6,36622
0,32,14,5,118602.2,41256.4
0,33,6,5,237084,48260.8
0,33,8,5,168317.8,44262.8
0,33,5,5,534636.6,65822.2
0,33,11,5,88466.6,27948.6
0,33,9,5,385269.8,50439.8
0,33,7,5,661744,68391
0,33,10,5,363223.2,38869.6
0,33,13,5,212583.8,31442.6
0,33,12,5,259681.8,43384.8
0,34,5,5,128271,50555
0,33,14,5,192408.6,36497.2
0,34,6,5,291762,50983.6
0,34,8,5,141907.2,52416
0,34,7,5,273022,56230.6
0,34,9,5,138379.4,46679.4
0,34,10,5,214107.4,42984.4
0,34,12,5,146606,31366
0,34,14,5,199077.6,27598.4
0,34,11,5,320392.6,49211
0,34,13,5,165708.2,41855.4
0,35,5,5,388750.8,66913.4
0,35,7,5,105666.2,31088.2
0,35,8,5,183400.6,32989.6
0,35,6,5,436503.4,64840.8
0,35,10,5,204024.4,38776.8
0,35,9,5,298184.4,58487.8
0,35,12,5,200167,38418
0,35,11,5,211584,44561.8
0,35,14,5,225102.8,34052.8
0,36,5,5,191863.6,56291
0,35,13,5,342918,42076.6
0,36,7,5,266132.4,49927.8
0,36,6,5,452846.4,55832
0,36,9,5,161625,39380.2
0,36,8,5,289283.2,54440.8
0,36,11,5,243742,35171
0,36,10,5,309998.8,54030
0,36,12,5,122664.4,36915.2
0,36,13,5,307170.6,39433.4
0,36,14,5,124244,31653.2
0,37,5,5,322231,63187.4
0,37,9,5,123956.6,33991.4
0,37,7,5,383408.6,55948.6
0,37,6,5,475425.4,66451.2
0,37,8,5,287267.2,53528
0,37,12,5,138051.2,30540.8
0,37,10,5,282468.4,46538.8
0,37,14,5,177254.6,32201.2
0,37,13,5,143573.4,33068.6
0,37,11,5,304629.6,51211
0,38,5,5,359766.8,60711
0,38,9,5,182080,49479
0,38,8,5,322480,47726.4
0,38,7,5,515245.2,57452.6
0,38,6,5,757918.2,71049.6
0,38,11,5,155567.2,39134.2
0,38,10,5,359858.2,48477.6
0,38,12,5,191867.8,39352.4
0,38,13,5,218910.2,36035.8
0,38,14,5,78708.6,38342
0,39,6,5,316072.4,45651.2
0,39,7,5,333442.4,54591
0,39,5,5,579709,70105.4
0,39,9,5,211387,43596.2
0,39,8,5,463632,55519.6
0,39,10,5,241893.8,31012.4
0,39,14,5,137937.6,38719.2
0,39,11,5,303717.6,47400.6
0,39,13,5,286987.8,39839.8
0,39,12,5,287533.4,47073.2
0,40,5,5,114390,48647.4
0,40,10,5,136698.6,27770.8
0,40,7,5,359735.6,52209.4
0,40,9,5,261532.4,56014.2
0,40,8,5,313240.6,51455.6
0,40,6,5,483860.2,66284.8
0,40,11,5,203721.8,41859
0,40,13,5,128302.2,32709
0,40,12,5,289311.4,34061.6
0,40,14,5,182097.8,38418.8
0,41,6,5,148569.6,54331.2
0,41,5,5,455200,63206.6
0,41,7,5,491081.6,51481
0,41,11,5,161334,36427.8
0,41,8,5,422227.4,55350.8
0,41,9,5,290372.2,55563.8
0,41,10,5,316764.2,51367.6
0,41,13,5,86200.2,27678.6
0,41,14,5,154122,34736.4
0,41,12,5,285884.4,46794.8
0,42,7,5,288023.4,55127.8
0,42,5,5,682834.6,72951.8
0,42,8,5,312628.4,45597.6
0,42,6,5,600855.6,63618.8
0,42,9,5,220779.2,49524.2
0,42,11,5,178703.8,26568.2
0,42,14,5,247272.4,22611.2
0,42,12,5,80709.8,36389.6
0,42,13,5,243557,29721.8
0,42,10,5,454737,46252
0,43,5,5,380682.2,62946.2
0,43,8,5,302652.2,50024.8
0,43,7,5,267817.4,51640.2
0,43,6,5,506159.6,57878
0,43,12,5,205034,30976.8
0,43,13,5,216617.6,31963
0,43,11,5,296732.4,35136.6
0,43,9,5,539095.6,59249.4
0,43,10,5,277069.6,52528.4
0,43,14,5,244085.4,41831.2
0,44,6,5,369160.4,60176.8
0,44,8,5,334250.8,50110.4
0,44,5,5,496442.2,62808.2
0,44,7,5,445109.8,56348.6
0,44,11,5,105108.6,35721.8
0,44,12,5,169463.6,32670.4
0,44,13,5,342314.2,28965
0,44,10,5,270559.4,49804.8
0,44,9,5,430414.8,48315.8
0,44,14,5,129996,30297.6
0,45,9,5,131427.4,43520.2
0,45,8,5,285108.6,56326.8
0,45,6,5,544323.2,70211.2
0,45,7,5,483798.2,62545.4
0,45,5,5,906047,74511
0,45,10,5,207154,34152
0,45,12,5,123124.8,33302.4
0,45,11,5,243801.8,46750.2
0,45,14,5,382505.4,22530.8
0,45,13,5,129395,38391
0,46,5,5,189613,54404.2
0,46,9,5,161602.8,40211.8
0,46,7,5,196459.4,52494.6
0,46,8,5,350349.6,52981.2
0,46,6,5,728840.8,62636.4
0,46,10,5,458410.6,49776.4
0,46,11,5,173638,46360.6
0,46,12,5,338385.4,36999.2
0,46,13,5,343334.2,31695.8
0,46,14,5,424188.2,31108.4
0,47,7,5,331010.6,53212.2
0,47,9,5,368864.4,41205.4
0,47,5,5,539927.2,68440.6
0,47,8,5,373664.4,54490
0,47,6,5,659268.4,53495.2
0,47,10,5,137202,33935.6
0,47,13,5,329285.2,32652.6
0,47,12,5,236048.6,34562
0,47,11,5,287453,45422.2
0,47,14,5,346093.2,32972.4
0,48,5,5,530481.6,66362.2
0,48,7,5,336814,59041.8
0,48,8,5,383399.4,55831.2
0,48,9,5,374797.8,55361
0,48,6,5,637301.2,66844.4
0,48,10,5,340761.8,45967.6
0,48,13,5,375309.2,33420.6
0,48,12,5,268244.4,42496
0,48,11,5,367240.6,51211.4
0,48,14,5,257018,43301.6
0,49,6,5,104753.8,25790.8
0,49,5,5,506139.8,61624.6
0,49,11,5,118853.4,25057
0,49,10,5,186921.4,41622.4
0,49,8,5,621246,61536
0,49,12,5,293104.6,36921.6
0,49,13,5,327042.6,27900.2
0,49,9,5,569950.2,52519
0,49,7,5,794879.4,62417
0,50,6,5,203983.4,37081.8
0,49,14,5,316971,40901.2
0,50,5,5,497263.8,62839
0,50,9,5,360424.4,26953.6
0,50,7,5,585460.8,59069.8
0,50,8,5,609933,65670.8
0,50,10,5,441915.2,30402.4
0,50,12,5,262302.8,30626.2
0,50,11,5,185370,46124.6
0,50,14,5,240064.2,21907.4
0,50,13,5,401499.8,45868.2
0,51,8,5,99883.6,41126
0,51,5,5,509773.8,65182.6
0,51,7,5,341040.6,55249.4
0,51,11,5,142573.2,25575.4
0,51,6,5,671339.4,69645.6
0,51,9,5,238666.4,37170.4
0,51,10,5,300379.4,36151.8
0,51,12,5,103618.2,34329.2
0,51,14,5,239346.8,25388.6
0,51,13,5,437735,27831.2
0,52,5,5,402825,65253.8
0,52,6,5,375622.4,52019.2
0,52,8,5,233028.2,54210
0,52,9,5,260355,42691
0,52,7,5,754116.2,65352.2
0,52,11,5,230437.4,32442
0,52,10,5,362931,40901.8
0,52,12,5,356989.6,31303
0,52,14,5,277179,25519.4
0,52,13,5,258422.2,41898.2
0,53,6,5,431316.2,59213.6
0,53,9,5,62628.4,28992.4
0,53,5,5,646853.6,57366.2
0,53,7,5,445042.8,54489.4
0,53,8,5,403603.6,53367.6
0,53,10,5,126897.2,40188.8
0,53,11,5,439019.4,42752.8
0,53,14,5,294793.8,33235.6
0,53,12,5,416499,40731.8
0,53,13,5,249530.6,41122.6
0,54,5,5,427783.4,65879.4
0,54,10,5,33139.8,29578.8
0,54,7,5,538514.8,55219
0,54,8,5,443542.4,39113
0,54,9,5,459983.6,45048.6
0,54,11,5,139431.4,32063.2
0,54,6,5,853028.8,62576
0,54,14,5,195202,33855.2
0,54,13,5,360269.2,30798.8
0,54,12,5,239385,41827.6
0,55,6,5,182114.4,53259.6
0,55,5,5,537537.8,60250
0,55,8,5,57910,36796
0,55,10,5,160337,38332
