"BEEF_production","BEEF_workers","BEEF_price","BEEF_volume","BEEF_outputInventory","BEEF_inputInventory","BEEF_shortages","FOOD_production","FOOD_workers","FOOD_price","FOOD_volume","FOOD_outputInventory","FOOD_inputInventory","FOOD_shortages"
"14","14","51","0","774","400","false","0","0","95","0","0","33","false"
"14","14","51","0","788","400","false","0","0","95","0","0","33","false"
"14","14","51","0","802","400","false","0","0","95","0","0","33","false"
"14","14","51","0","816","400","false","0","0","95","0","0","33","false"
"14","14","51","0","830","400","false","0","0","95","0","0","33","false"
"14","14","51","0","844","400","false","0","0","95","0","0","33","false"
"14","14","51","0","858","400","false","0","0","95","0","0","33","false"
"14","15","51","0","872","400","false","0","0","95","0","0","33","false"
"15","15","51","0","887","400","false","0","0","95","0","0","33","false"
"15","15","51","0","902","400","false","0","0","95","0","0","33","false"
"15","15","51","0","917","400","false","0","0","95","0","0","33","false"
"15","15","51","0","932","400","false","0","0","95","0","0","33","false"
"15","15","51","0","947","400","false","0","0","95","0","0","33","false"
"15","15","51","0","962","400","false","0","0","95","0","0","33","false"
"15","15","51","0","977","400","false","0","0","95","0","0","33","false"
"15","15","51","0","992","400","false","0","0","95","0","0","33","false"
"15","15","51","0","1007","400","false","0","0","95","0","0","33","false"
"15","15","51","0","1022","400","false","0","0","95","0","0","33","false"
"15","15","51","0","1037","400","false","0","0","95","0","0","33","false"
"15","15","51","0","1052","400","false","0","0","95","0","0","33","false"
"15","16","51","0","1067","400","false","0","0","95","0","0","33","false"
"15","16","51","0","1082","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1098","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1114","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1130","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1146","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1162","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1178","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1194","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1210","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1226","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1242","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1258","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1274","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1290","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1306","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1322","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1338","400","false","0","0","95","0","0","33","false"
"16","16","51","0","1354","400","false","0","0","95","0","0","33","false"
"16","17","51","0","1370","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1387","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1404","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1421","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1438","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1455","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1472","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1489","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1506","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1523","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1540","400","false","0","0","95","0","0","33","false"
"17","17","51","0","1557","400","false","0","0","95","0","0","33","false"
"17","18","51","0","1574","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1592","400","false","0","0","95","0","0","33","false"
"19","18","51","0","1611","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1629","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1647","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1665","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1683","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1701","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1719","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1737","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1755","400","false","0","0","95","0","0","33","false"
"18","18","51","0","1773","400","false","0","0","95","0","0","33","false"
"18","19","51","0","1791","400","false","0","0","95","0","0","33","false"
"18","19","51","0","1809","400","false","0","0","95","0","0","33","false"
"19","19","51","0","1828","400","false","0","0","95","0","0","33","false"
"19","19","51","0","1847","400","false","0","0","95","0","0","33","false"
"19","19","51","0","1866","400","false","0","0","95","0","0","33","false"
"19","19","51","0","1885","400","false","0","0","95","0","0","33","false"
"19","19","51","0","1904","400","false","0","0","95","0","0","33","false"
"19","19","51","0","1923","400","false","0","1","95","0","0","33","false"
"19","19","48","0","1941","400","false","1","1","95","0","0","34","false"
"19","19","48","1","1959","400","false","1","1","95","1","0","35","false"
"19","19","48","1","1977","400","false","1","1","95","1","0","36","false"
"19","19","48","1","1995","400","false","1","1","95","1","0","37","false"
"19","19","48","1","2013","400","false","1","1","95","1","0","38","false"
"19","19","48","1","2031","400","false","1","1","95","1","0","39","false"
"19","19","48","1","2049","400","false","1","1","95","1","0","40","false"
"19","19","47","1","2067","400","false","1","1","95","1","0","41","false"
"19","19","47","1","2085","400","false","1","1","95","1","0","42","false"
"19","19","47","1","2103","400","false","1","1","95","1","0","43","false"
"19","19","47","1","2121","400","false","1","1","96","1","0","44","false"
"19","19","47","1","2139","400","false","1","1","97","1","0","45","false"
"19","19","47","1","2157","400","false","1","1","97","1","0","46","false"
"19","19","47","1","2175","400","false","1","1","98","1","0","47","false"
"19","20","47","1","2193","400","false","1","1","98","1","0","48","false"
"19","20","47","1","2211","400","false","1","1","99","1","0","49","false"
"20","20","47","1","2230","400","false","1","1","99","1","0","50","false"
"20","20","47","1","2249","400","false","1","1","100","1","0","51","false"
"20","20","47","1","2268","400","false","1","1","100","1","0","52","false"
"20","20","47","1","2287","400","false","1","1","100","1","0","53","false"
"20","20","47","1","2306","400","false","1","1","100","1","1","53","false"
"20","20","47","1","2325","400","false","1","1","100","0","1","54","false"
"20","20","47","1","2344","400","false","1","1","100","1","1","55","false"
"20","20","47","1","2363","400","false","1","1","100","1","1","56","false"
"20","20","47","1","2382","400","false","1","1","100","1","1","57","false"
"20","21","47","1","2401","400","false","1","1","100","1","1","58","false"
"21","21","47","1","2421","400","false","1","1","100","1","1","59","false"
"21","21","47","1","2441","400","false","1","1","100","1","1","60","false"
"21","21","47","1","2461","400","false","1","1","100","1","1","61","false"
"21","21","47","1","2481","400","false","1","1","100","1","1","62","false"
"21","21","47","1","2501","400","false","1","1","100","1","1","63","false"
"21","21","47","1","2521","400","false","1","1","100","1","1","64","false"
"21","21","47","1","2541","400","false","1","1","100","1","1","65","false"
"21","21","47","1","2561","400","false","1","1","100","1","1","66","false"
"21","21","47","1","2581","400","false","1","1","100","1","1","67","false"
"21","22","47","1","2601","400","false","1","1","100","1","1","68","false"
"22","22","47","1","2622","400","false","1","1","100","1","1","69","false"
"22","22","47","1","2643","400","false","1","2","100","1","1","70","false"
"22","22","47","1","2663","400","false","2","2","100","1","2","71","false"
"22","22","47","2","2683","400","false","2","2","99","1","2","73","false"
"22","22","47","2","2703","400","false","2","2","99","2","2","75","false"
"22","22","47","2","2723","400","false","2","2","99","2","2","77","false"
"22","22","47","2","2743","400","false","2","2","98","2","1","80","false"
"22","22","47","2","2763","400","false","2","2","99","3","1","82","false"
"22","22","47","2","2783","400","false","2","2","99","2","1","84","false"
"22","22","47","2","2803","400","false","2","2","99","2","1","86","false"
"22","22","47","2","2823","400","false","2","2","99","2","1","88","false"
"22","22","47","2","2843","400","false","2","2","99","2","1","90","false"
"22","22","47","2","2863","400","false","2","2","100","2","2","91","false"
"22","23","47","2","2883","400","false","2","2","99","1","2","93","false"
"23","23","46","2","2904","400","false","2","2","99","2","2","95","false"
"24","23","46","2","2926","400","false","2","2","99","2","2","97","false"
"23","23","46","2","2947","400","false","2","2","99","2","2","99","false"
"23","23","46","2","2968","400","false","2","2","99","2","2","101","false"
"23","23","46","2","2989","400","false","2","2","99","2","2","103","false"
"23","23","46","2","3010","400","false","2","2","99","2","2","105","false"
"23","23","46","2","3031","400","false","2","2","99","2","2","107","false"
"23","23","46","2","3052","400","false","2","2","99","2","2","109","false"
"23","23","46","2","3073","400","false","2","2","99","2","2","111","false"
"23","23","46","2","3094","400","false","2","2","99","2","2","113","false"
"23","23","46","2","3115","400","false","2","2","99","2","2","115","false"
"23","23","46","2","3136","400","false","2","2","99","2","2","117","false"
"23","23","46","2","3157","400","false","2","2","99","2","2","119","false"
"23","23","46","2","3178","400","false","2","2","99","2","2","121","false"
"23","23","46","2","3199","400","false","2","2","99","2","2","123","false"
"23","23","46","2","3220","400","false","2","2","99","2","2","125","false"
"23","23","46","2","3241","400","false","2","2","99","2","2","127","false"
"23","23","46","2","3262","400","false","2","2","99","2","2","129","false"
"23","23","46","2","3283","400","false","2","2","99","2","2","131","false"
"23","23","46","2","3304","400","false","2","2","99","2","2","133","false"
"23","24","46","2","3325","400","false","2","2","99","2","2","135","false"
"24","24","46","2","3347","400","false","2","2","99","2","2","137","false"
"24","24","46","2","3369","400","false","2","2","99","2","2","139","false"
"24","24","46","2","3391","400","false","2","2","99","2","2","141","false"
"24","24","46","2","3413","400","false","2","2","99","2","2","143","false"
"24","24","46","2","3435","400","false","2","2","99","2","2","145","false"
"24","24","46","2","3457","400","false","2","2","99","2","2","147","false"
"24","24","46","2","3479","400","false","2","2","99","2","2","149","false"
"24","24","46","2","3501","400","false","2","3","99","2","2","151","false"
"24","24","46","2","3523","400","false","2","3","99","2","2","153","false"
"24","24","46","2","3544","400","false","3","3","99","2","3","155","false"
"24","24","46","3","3565","400","false","3","3","98","2","3","158","false"
"24","24","46","3","3586","400","false","3","3","98","3","3","161","false"
"24","24","46","3","3607","400","false","3","3","97","3","2","165","false"
"24","24","46","3","3628","400","false","3","3","98","4","2","168","false"
"24","24","46","3","3649","400","false","3","3","98","3","2","171","false"
"24","24","46","3","3670","400","false","3","3","98","3","2","174","false"
"24","24","46","3","3691","400","false","3","3","98","3","2","177","false"
"24","24","46","3","3712","400","false","3","3","98","3","2","180","false"
"24","24","46","3","3733","400","false","3","3","98","3","2","183","false"
"24","24","46","3","3754","400","false","3","3","99","3","3","185","false"
"24","24","46","3","3775","400","false","3","3","98","2","3","188","false"
"24","24","45","3","3796","400","false","3","3","98","3","3","191","false"
"24","25","45","3","3817","400","false","3","3","98","3","3","194","false"
"25","25","45","3","3839","400","false","3","3","98","3","3","197","false"
"25","25","45","3","3861","400","false","3","3","98","3","3","200","false"
"25","25","45","3","3883","400","false","3","3","98","3","3","203","false"
"25","25","45","3","3905","400","false","3","3","98","3","3","206","false"
"25","25","45","3","3927","400","false","3","3","98","3","3","209","false"
